datetime,P_0.02m,P_0.06m,P_0.10m,P_0.14m,P_0.18m,P_0.22m,P_0.26m
18/06/2024 14:00,21.3400757,20.53478002,19.86964989,19.29350623,18.83914541,18.45721655,18.15148039
18/06/2024 14:15,21.4750683,20.63729619,19.94869232,19.35361441,18.88316129,18.48748045,18.17086286
18/06/2024 14:30,21.56724283,20.73093557,20.02821159,19.41537436,18.92881941,18.51923018,18.19183607
18/06/2024 14:45,21.71303103,20.83894491,20.11367226,19.47965392,18.97584509,18.55243712,18.21411199
18/06/2024 15:00,21.90040705,20.96010732,20.2006321,19.54551276,19.02498029,18.58722906,18.23821325
18/06/2024 15:15,22.10347674,21.09817647,20.29629135,19.61434706,19.07552694,18.62377005,18.26362104
18/06/2024 15:30,22.17787287,21.21522664,20.39774895,19.68946036,19.12995695,18.6625598,18.29085798
18/06/2024 15:45,22.29737208,21.33846235,20.5048542,19.77165946,19.19016813,18.70548087,18.32116956
18/06/2024 16:00,22.4526169,21.46833753,20.61730385,19.86100539,19.25677274,18.75395232,18.3553874
18/06/2024 16:15,22.57355616,21.58480596,20.72471046,19.95101508,19.32709287,18.80618887,18.39342375
18/06/2024 16:30,22.72236559,21.7076373,20.8336544,20.04371222,19.40080236,18.8623622,18.43491621
18/06/2024 16:45,22.9131119,21.84520101,20.94563675,20.13894995,19.4787805,18.92281371,18.47985906
18/06/2024 17:00,22.98373339,21.97174596,21.06679726,20.24148329,19.56334661,18.98818617,18.52924795
18/06/2024 17:15,22.89949152,22.06816434,21.20365143,20.36292227,19.66154455,19.06435614,18.58565397
18/06/2024 17:30,22.72297022,22.07341718,21.30901909,20.48956069,19.77344106,19.15284377,18.65148229
18/06/2024 17:45,22.61127016,22.06433439,21.38303566,20.60314711,19.88726591,19.24765997,18.7242629
18/06/2024 18:00,22.59935877,22.07301092,21.44176865,20.70087966,19.99399542,19.34316473,18.80109281
18/06/2024 18:15,22.61055872,22.10030508,21.49289131,20.77709349,20.08188223,19.43057089,18.87701292
18/06/2024 18:30,22.62279818,22.11987066,21.53295898,20.84040602,20.15873121,19.51200133,18.9505908
18/06/2024 18:45,22.66501543,22.14745664,21.5709362,20.89779242,20.22721647,19.58437567,19.01714582
18/06/2024 19:00,22.69548723,22.17055845,21.60258675,20.94667586,20.2861955,19.64710646,19.07598943
18/06/2024 19:15,22.70437166,22.18903112,21.63002968,20.98820838,20.33740209,19.70232611,19.12880201
