datetime,d_0,d_0.05,d_0.1,d_0.15,d_0.2,d_0.3,d_0.4,d_0.5,d_1.0
08/01/2025 11:45,15.31,16.32,16.67,16.63,16.38,15.73,15.25,15.03,15
08/01/2025 12:00,15,16.11,16.54,16.56,16.35,15.74,15.27,15.04,15
08/01/2025 12:14,14.69,15.9,16.41,16.48,16.31,15.75,15.29,15.05,15
08/01/2025 12:28,14.37,15.69,16.27,16.4,16.27,15.75,15.3,15.06,15
08/01/2025 12:43,14.06,15.48,16.13,16.31,16.22,15.75,15.31,15.07,15
08/01/2025 12:57,13.76,15.27,15.99,16.22,16.17,15.74,15.32,15.08,15
08/01/2025 13:12,13.45,15.06,15.85,16.13,16.12,15.73,15.33,15.09,15
08/01/2025 13:26,13.16,14.86,15.72,16.04,16.06,15.72,15.33,15.1,15
08/01/2025 13:40,12.87,14.66,15.58,15.95,16.01,15.71,15.34,15.1,15
08/01/2025 13:55,12.59,14.47,15.45,15.86,15.95,15.69,15.34,15.11,15
08/01/2025 14:09,12.32,14.28,15.32,15.78,15.89,15.67,15.34,15.11,15
08/01/2025 14:24,12.06,14.1,15.19,15.69,15.83,15.65,15.33,15.12,15
08/01/2025 14:38,11.81,13.92,15.06,15.6,15.77,15.63,15.33,15.12,15
08/01/2025 14:52,11.58,13.75,14.94,15.51,15.72,15.61,15.33,15.12,15
08/01/2025 15:07,11.36,13.58,14.82,15.43,15.66,15.58,15.32,15.12,15
08/01/2025 15:21,11.15,13.42,14.7,15.34,15.6,15.56,15.32,15.12,15
08/01/2025 15:36,10.95,13.26,14.58,15.26,15.54,15.54,15.31,15.13,15
08/01/2025 15:50,10.78,13.11,14.47,15.17,15.48,15.51,15.3,15.13,15
08/01/2025 16:04,10.62,12.97,14.35,15.09,15.43,15.49,15.3,15.13,15
08/01/2025 16:19,10.48,12.83,14.24,15.01,15.37,15.47,15.29,15.13,15
08/01/2025 16:33,10.35,12.69,14.13,14.92,15.31,15.44,15.29,15.13,15
08/01/2025 16:48,10.24,12.56,14.01,14.84,15.25,15.42,15.28,15.13,15
08/01/2025 17:02,10.16,12.44,13.9,14.75,15.19,15.39,15.27,15.13,15
08/01/2025 17:16,10.09,12.32,13.79,14.66,15.13,15.37,15.27,15.13,15
08/01/2025 17:31,10.04,12.21,13.68,14.58,15.06,15.34,15.26,15.13,15
